Date,SP
12/09/16,1.722
13/09/16,1.7169
14/09/16,1.7123
19/09/16,1.717
20/09/16,1.7286
21/09/16,1.7374
22/09/16,1.7432
23/09/16,1.7434
26/09/16,1.7506
27/09/16,1.7554
28/09/16,1.7575
29/09/16,1.775
30/09/16,1.7632
10/10/16,1.7654
11/10/16,1.7777
12/10/16,1.7754
13/10/16,1.7876
14/10/16,1.7904
17/10/16,1.8114
18/10/16,1.8219
19/10/16,1.844
20/10/16,1.8423
21/10/16,1.834
24/10/16,1.8461
25/10/16,1.8928
26/10/16,1.9017
27/10/16,1.8989
28/10/16,1.9129
31/10/16,1.8995
01/11/16,1.9154
02/11/16,1.9036
03/11/16,1.8998
04/11/16,1.9222
07/11/16,1.9383
08/11/16,1.9574
09/11/16,1.9843
10/11/16,2.0094
11/11/16,2.0476
14/11/16,2.015
15/11/16,1.9899
16/11/16,1.9733
17/11/16,1.9706
18/11/16,1.9598
21/11/16,1.974
22/11/16,2.015
23/11/16,2.0191
24/11/16,2.0421
25/11/16,2.0478
28/11/16,2.0814
29/11/16,2.0808
30/11/16,2.0029
01/12/16,2.0203
02/12/16,2.0109
05/12/16,2.0292
06/12/16,2.0497
07/12/16,2.0716
08/12/16,2.0687
09/12/16,2.054
12/12/16,2.0956
13/12/16,2.092
14/12/16,2.0884
15/12/16,2.0989
16/12/16,2.1024
19/12/16,2.09
20/12/16,2.045
21/12/16,2.0344
22/12/16,2.0201
23/12/16,1.9988
26/12/16,1.9748
27/12/16,1.9827
28/12/16,2.0033
29/12/16,1.9904
30/12/16,1.9801
02/01/17,1.9803
03/01/17,1.9736
04/01/17,1.9621
05/01/17,1.9647
06/01/17,1.9653
09/01/17,1.9622
10/01/17,1.9693
11/01/17,1.9824
12/01/17,1.983
13/01/17,1.9886
16/01/17,2.0076
17/01/17,2.0031
18/01/17,1.9944
19/01/17,1.9887
20/01/17,1.9851
23/01/17,1.9831
24/01/17,1.9977
25/01/17,2.0101
26/01/17,2.0153
03/02/17,2.0064
06/02/17,2.0075
07/02/17,2.008
08/02/17,2.0092
09/02/17,2.0113
10/02/17,2.0147
13/02/17,2.0467
14/02/17,2.0534
15/02/17,2.0372
16/02/17,2.0263
17/02/17,2.0127
20/02/17,2.0061
21/02/17,2.0201
22/02/17,2.0044
23/02/17,1.9925
24/02/17,1.9749
27/02/17,1.995
28/02/17,1.9941
01/03/17,1.9928
02/03/17,1.9979
03/03/17,1.9811
06/03/17,1.9879
07/03/17,1.9837
08/03/17,1.9678
09/03/17,1.9457
10/03/17,1.9428
13/03/17,1.9441
14/03/17,1.952
15/03/17,1.9534
16/03/17,1.9528
17/03/17,1.9498
20/03/17,1.9554
21/03/17,1.9536
22/03/17,1.9502
23/03/17,1.9528
24/03/17,1.9534
27/03/17,1.9558
28/03/17,1.9509
29/03/17,1.9548
30/03/17,1.9588
04/04/17,1.9611
05/04/17,1.9705
06/04/17,1.9691
07/04/17,1.9683
10/04/17,1.9594
11/04/17,1.9464
12/04/17,1.944
13/04/17,1.9421
14/04/17,1.94
17/04/17,1.9386
18/04/17,1.9372
19/04/17,1.9384
20/04/17,1.9368
21/04/17,1.9336
24/04/17,1.931
25/04/17,1.9299
26/04/17,1.9286
27/04/17,1.9242
28/04/17,1.9207
02/05/17,1.9078
03/05/17,1.9038
04/05/17,1.9147
05/05/17,1.9202
08/05/17,1.9137
09/05/17,1.916
10/05/17,1.923
11/05/17,1.9168
12/05/17,1.9158
15/05/17,1.9041
16/05/17,1.8966
17/05/17,1.8927
18/05/17,1.8936
19/05/17,1.8956
22/05/17,1.8889
23/05/17,1.8874
24/05/17,1.8877
25/05/17,1.8899
31/05/17,1.9169
01/06/17,1.923
02/06/17,1.9206
05/06/17,1.9102
06/06/17,1.9072
07/06/17,1.902
08/06/17,1.9049
09/06/17,1.8931
12/06/17,1.8813
13/06/17,1.8877
14/06/17,1.8906
15/06/17,1.8848
16/06/17,1.8823
19/06/17,1.8743
20/06/17,1.8741
21/06/17,1.8831
22/06/17,1.8856
23/06/17,1.8871
26/06/17,1.8799
27/06/17,1.8854
28/06/17,1.8816
29/06/17,1.8743
30/06/17,1.8779
03/07/17,1.8646
04/07/17,1.8746
05/07/17,1.8881
06/07/17,1.8852
07/07/17,1.8841
10/07/17,1.8971
11/07/17,1.9031
12/07/17,1.8937
13/07/17,1.8856
